Filename,best frq of site,S- top,S-bttm,G- top,G- bottom,I - top,I - bttm,,,,,,,
'2-ta016017040@os.mat',13,2,11,12,13,14,19,,,,,,,
'2-ta018019039@os.mat',3,2,12,13,14,15,20,,,,,,,
'2-ta022023038@os.mat',12,1,10,11,12,13,18,,,,,,,
'2-ta024025033@os.mat',12,6,16,17,18,19,23,,,,,,,
'2-ta026027039@os.mat',10,1,9,10,11,12,18,,,,,,,
'2-ta030031029@os.mat',12,1,8,9,10,11,17,,,,,,,
'2-ta040041043@os.mat',1,5,15,16,17,18,22,,,,,,,
'2-ta044045035@os.mat',11,2,12,13,14,15,20,,,,,,,
'2-ta046047038@os.mat',14,2,11,12,13,14,19,,,,,,,
'2-ta048049035@os.mat',12,1,10,11,12,13,20,,,,,,,
'2-ta050051032@os.mat',13,5,16,17,18,19,23,,,,,,,
'2-ta054055034@os.mat',14,1,11,12,13,14,20,,,,,,,
'2-ta056057037@os.mat',11,1,8,9,10,11,17,,,,,,,
'2-ta058059040@os.mat',8,1,11,12,13,14,20,,,,,,,
'2-um007008023@os.mat',8,3,11,12,13,14,21,,,,,,,
'2-um033034026@os.mat',12,1,10,11,12,13,17,,,,,,,
'2-um040041026@os.mat',12,4,16,17,18,19,22,,,,,,,
'2-um044045030@os.mat',7,1,8,9,10,11,16,,,,,,,
'2-um062063023@os.mat',12,1,10,11,12,13,20,,,,,,,
'2-um066067026@os.mat',13,2,12,13,14,15,20,,,,,,,
'2-um068069031@os.mat',7,1,9,10,11,12,18,,,,,,,
'2-um070071021@os.mat',13,1,10,11,12,13,18,,,,,,,
'1-rb053054021@os.mat',13,1,11,12,13,14,20,,,,,,,0
'1-rb055056034@os.mat',8,1,12,13,14,15,20,,,,,,,
'1-rb057058033@os.mat',6,1,11,12,13,14,19,,,,,,,
'1-rb059060033@os.mat',14,2,12,13,14,15,19,,,,,,,
'1-rb061062034@os.mat',13,1,12,13,14,15,19,,,,,,,
'1-rb063064014@os.mat',13,2,14,15,16,17,21,,,,,,,
'1-rb063064016@os.mat',13,2,14,15,16,17,21,,,,,,,
'1-rb065066015@os.mat',9,1,9,10,11,12,19,,,,,,,
'1-rb065066019@os.mat',9,1,9,10,11,12,19,,,,,,,
'1-rb065066021@os.mat',9,1,9,10,11,12,19,,,,,,,
'1-rb067068014@os.mat',9,1,10,11,12,13,18,,,,,,,
'1-rb067068016@os.mat',9,1,10,11,12,13,18,,,,,,,
'1-rb067068018@os.mat',9,1,10,11,12,13,18,,,,,,,
'1-rb067068022@os.mat',9,1,10,11,12,13,18,,,,,,,
'2-gt014015027@os.mat',12,2,13,14,15,16,21,,,,,,,
'2-gt014015037@os.mat',12,2,13,14,15,16,21,,,,,,,
'2-gt016017026@os.mat',13,1,11,12,13,14,19,,,,,,,
'2-gt018019024@os.mat',9,2,13,14,15,16,19,,,,,,,
'2-gt020021019@os.mat',12,1,11,12,13,14,19,,,,,,,
'2-gt028029028@os.mat',7,1,12,13,14,15,20,,,,,,,
'2-gt030031028@os.mat',9,2,12,13,14,15,20,,,,,,,
'2-gt034035039@os.mat',6,1,9,10,11,12,19,,,,,,,
'2-gt040041021@os.mat',14,1,9,10,11,12,17,,,,,,,
'2-gt042043057@os.mat',11,1,10,11,13,14,19,,,,,,,
'2-gt044045048@os.mat',11,2,13,14,15,16,20,,,,,,,
'2-gt051052054@os.mat',8,1,7,8,9,10,16,,,,,,,
'2-gt053054056@os.mat',12,2,14,15,16,17,21,,,,,,,
'2-gt055056052@os.mat',12,1,14,15,16,17,21,,,,,,,
'2-gt057058051@os.mat',10,5,15,16,17,17,21,,,,,,,
'2-gt059060050@os.mat',11,1,12,13,14,15,19,,,,,,,
'2-rb015016025@os.mat',12,1,8,9,10,11,16,,,,,,,
'2-rb017018025@os.mat',10,2,10,11,12,13,19,,,,,,,
'2-rb017018027@os.mat',10,2,10,11,12,13,19,,,,,,,
'2-rb019020018@os.mat',2,1,9,10,11,12,20,,,,,,,
'2-rb019020020@os.mat',2,1,9,10,11,12,20,,,,,,,
'2-rb019020021@os.mat',2,1,9,10,11,12,20,,,,,,,
'2-rb023024026@os.mat',11,3,13,14,15,16,21,,,,,,,
'2-rb025026022@os.mat',11,1,9,10,11,12,19,,,,,,,
'2-rb029030023@os.mat',12,1,9,10,11,12,19,,,,,,,
'2-rb031032025@os.mat',13,1,11,12,13,14,18,,,,,,,
'2-rb033034025@os.mat',9,2,11,12,13,14,19,,,,,,,
'2-rb037038023@os.mat',13,1,9,10,11,12,20,,,,,,,
'2-rb039040026@os.mat',12,1,9,10,11,12,18,,,,,,,
'2-rb041042026@os.mat',8,1,10,11,12,13,19,,,,,,,
'2-rb041042031@os.mat',8,1,10,11,12,13,19,,,,,,,
'2-rb043044026@os.mat',9,1,7,8,9,10,16,,,,,,,
'2-rb043044032@os.mat',9,1,7,8,9,10,16,,,,,,,
'2-rb045046028@os.mat',13,1,13,14,15,16,20,,,,,,,
'2-rb045046033@os.mat',13,1,13,14,15,16,20,,,,,,,
'2-rb047048032@os.mat',7,2,11,12,13,14,20,,,,,,,
'2-rb049050043@os.mat',1,5,15,16,17,18,22,,,,,,,
'2-rb051052027@os.mat',7,1,11,12,13,14,20,,,,,,,
'2-rb051052034@os.mat',7,1,11,12,13,14,20,,,,,,,
'2-rb051052037@os.mat',7,1,11,12,13,14,20,,,,,,,
'2-rb053054021@os.mat',10,2,12,13,14,15,18,,,,,,,
'2-rb055056034@os.mat',7,1,5,6,7,8,14,,,,,,,
'2-rb057058033@os.mat',6,1,8,9,10,11,16,,,,,,,
'2-rb059060033@os.mat',11,1,12,13,14,15,20,,,,,,,
'2-rb061062034@os.mat',14,1,8,9,10,11,17,,,,,,,
'2-rb063064014@os.mat',14,2,14,15,16,17,21,,,,,,,
'2-rb063064016@os.mat',14,2,14,15,16,17,21,,,,,,,
'2-rb063064018@os.mat',14,2,14,15,16,17,21,,,,,,,
'2-rb063064020@os.mat',14,2,14,15,16,17,21,,,,,,,
'2-rb063064022@os.mat',14,2,14,15,16,17,21,,,,,,,
'2-rb065066013@os.mat',11,1,12,13,14,15,18,,,,,,,
'2-rb065066015@os.mat',11,1,12,13,14,15,18,,,,,,,
'2-rb065066019@os.mat',11,1,12,13,14,15,18,,,,,,,
'2-rb065066021@os.mat',11,1,12,13,14,15,18,,,,,,,
'2-rb067068014@os.mat',14,1,9,10,11,12,18,,,,,,,
'2-ta016017038@os.mat',13,2,11,12,13,14,19,,,,,,,
'2-ta016017041@os.mat',13,2,11,12,13,14,19,,,,,,,
'2-ta016017042@os.mat',13,2,11,12,13,14,19,,,,,,,
'2-ta016017043@os.mat',13,2,11,12,13,14,19,,,,,,,
'2-ta018019040@os.mat',3,2,12,13,14,15,20,,,,,,,
'2-ta018019041@os.mat',3,2,12,13,14,15,20,,,,,,,
'2-ta018019042@os.mat',3,2,12,13,14,15,20,,,,,,,
'2-ta020021044@os.mat',9,1,8,9,10,11,16,,,,,,,
'2-ta022023039@os.mat',12,1,10,11,12,13,18,,,,,,,
'2-ta022023040@os.mat',12,1,10,11,12,13,18,,,,,,,
'2-ta022023041@os.mat',12,1,10,11,12,13,18,,,,,,,
'2-ta024025036@os.mat',12,6,16,17,18,19,23,,,,,,,
'2-ta028029033@os.mat',11,2,9,10,11,12,16,,,,,,,
'2-ta030031030@os.mat',12,1,8,9,10,11,17,,,,,,,
'2-ta040041044@os.mat',1,5,15,16,17,18,22,,,,,,,
'2-ta048049036@os.mat',12,1,10,11,12,13,20,,,,,,,
'2-ta050051033@os.mat',13,5,16,17,18,19,23,,,,,,,
'2-ta054055035@os.mat',14,1,11,12,13,14,20,,,,,,,
'2-ta056057038@os.mat',11,1,8,9,10,11,17,,,,,,,
'2-ta058059041@os.mat',8,1,11,12,13,14,20,,,,,,,
'2-um007008024@os.mat',8,3,11,12,13,14,21,,,,,,,
'2-um040041028@os.mat',12,4,16,17,18,19,22,,,,,,,
'2-um062063024@os.mat',12,1,10,11,12,13,20,,,,,,,
'2-um062063025@os.mat',12,1,10,11,12,13,20,,,,,,,
'2-um068069030@os.mat',7,1,9,10,11,12,18,,,,,,,
'2-um068069032@os.mat',7,1,9,10,11,12,18,,,,,,,
'2-um070071022@os.mat',13,1,10,11,12,13,18,,,,,,,
'2-um070071023@os.mat',13,1,10,11,12,13,18,,,,,,,
